@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
243,702,243,2,1,5,1,132,51,81,13,36.38,89,1,0,0,26,0,0,0,26,48,0.83,0.19,0.2,1,0,8,97,2,7,43,6,25.67,0
137,469,0,13,13,0,0,72,9,63,14,21.71,50,1,0,0,2,0,0,2,0,91,2,0.13,0,0,1,0,123,19,23,51,20,8.3,0
290,331,282,29,16,0,0,52,26,26,43,4.63,82,1,0,0,4,0,0,1,4,903,2,0.09,0,0,14,0,52,5,3,68,8,33.5,0
234,862,234,13,3,13,6,123,61,62,14,42.14,77,1,0,0,24,0,0,0,24,35,0.72,0.25,0.85,11,0,0,248,19,0,293,21,34.86,0
961,1856,961,15,1,12,1,308,164,144,42,26.81,167,1,0,0,38,0,0,2,36,535,0.79,0.14,1,12,9,0,498,14,0,192,22,27.5,0
203,580,203,16,0,4,0,84,80,4,16,25.5,36,1,0,0,4,0,0,0,4,42,0.35,0.39,1,0,0,0,96,7,16,67,8,35.38,0
550,1058,550,38,1,20,1,133,37,96,41,16.37,90,1,0,0,29,0,0,5,25,596,0.93,0.1,1,20,2,0,166,8,9,78,11,25.45,0
258,804,258,7,1,4,1,151,119,32,14,36.86,100,1,0,0,13,0,0,0,13,77,0.9,0.24,1,4,6,0,201,5,53,189,7,92.29,0
494,1059,483,39,1,17,7,87,48,39,41,15.88,61,2,0,0.23,6,2,5,0,6,282,0.87,0.18,1,17,2,0,78,5,5,33,7,15.86,0
201,477,201,6,1,0,0,82,72,10,8,40.38,49,2,0,0.71,17,1,3,1,17,28,2,0.3,0,0,1,1,159,13,32,215,14,53.79,0
